State,Jurisdiction Name,Jurisdiction Type,Date,Description,Finance Mechanism,"""Other"" Comment",Purpose,Total Funds at Stake,Conservation Funds at Stake,Total Funds Approved,Conservation Funds Approved,Pass?,Status,% Yes,% No,Notes,Voted Acq. Measure
CO,Pitkin County,County,11-08-2016,"20-year, extension of 3.75 mill property tax levy for open space and trails",Property tax,,"Open space, recreation, parks, trails","$200,000,000","$130,000,000","$200,000,000","$130,000,000",yes,Pass,70.014332514333%,29.985667485667%,Measure 1A,yes
CO,Boulder County,County,11-08-2016,"15-year, extension of .125 percent sales tax for open space purposes",Sales tax,,Open space,"$112,500,000","$56,250,000","$112,500,000","$56,250,000",yes,Pass,61.168910474082%,38.831089525918%,"Reduction and extension of the 1993 and 1999 open space sales taxes, County Issue 1B",yes
CO,Grand County,County,11-08-2016,"10-year, .3 percent sales tax increase for open space, farmland, and wildlife habitat protection",Sales tax,,"Open space, farmland, recreation, parks, trails, wildlife habitat, watershed protection","$7,500,000","$7,500,000","$7,500,000","$7,500,000",yes,Pass,59.833827893175%,40.166172106825%,,yes
CO,Eagle County,County,11-08-2016,"15-year, 1.5 mill property tax extension for open space and trails",Property tax,,"Open space, recreation, trails, watershed protection, wildlife habitat","$67,500,000","$50,625,000",,,no,Fail,47.3596604386%,52.6403395614%,Ballot Issue 1B,yes
CO,Basalt,Municipal,11-08-2016,Bond for acquisition of parkland,Bond,,"Parks, recreation","$3,800,000","$3,800,000",,,no,Fail,47.917764891935%,52.082235108065%,Eagle and Pitkin counties Question 2F.  Question 2G must pass as well for 2F to be implemented.  ,yes
CT,Manchester,Municipal,11-08-2016,Bond for open space and historic preservation,Bond,,Open space,"$4,000,000","$4,000,000","$4,000,000","$4,000,000",yes,Pass,57.817173074422%,42.182826925578%,,yes
CT,Glastonbury,Municipal,11-08-2016,Bond for open space,Bond,,Open space,"$3,000,000","$3,000,000","$3,000,000","$3,000,000",yes,Pass,56.971070059254%,43.028929940746%,,yes
CT,Watertown,Municipal,11-08-2016,Bond for the purchase of 17.85 acres for recreational purposes,Bond,,"Parks, recreation","$550,000","$550,000","$550,000","$550,000",yes,Pass,63.181267662495%,36.818732337505%,"Litchfield County, Question 1",yes
CT,Wolcott,Municipal,11-08-2016,Bond for the purchase of property for open space and recreational purposes,Bond,,"Open space, recreation","$325,000","$325,000","$325,000","$325,000",yes,Pass,67.866731754943%,32.133268245057%,New Haven County,yes
FL,Alachua County,County,11-08-2016,"8-year, .5 cent sales tax extension for land conservation, parks and recreation",Sales tax,,"Open space, recreation, parks, trails, wildlife habitat, watershed protection","$119,200,000","$41,918,061","$119,200,000","$41,918,061",yes,Pass,60.472380403181%,39.527619596819%,Question 2,yes
FL,Lee County,County,11-08-2016,"Continuation of Conservation 20/20 program with general revenues for open space, watershed protection and acquisition of other natural areas",Other,"General revenue funds, countywide millage","Open space, parks, recreation, wildlife habitat, watershed protection",,,,,yes,Pass,83.707157005943%,16.292842994058%,Non-binding,yes
GA,Milton,Municipal,11-08-2016,"Bond for open space, rural land, trails and parks",Bond,,"Open space, farmland, recreation, parks, trails, wildlife habitat, watershed protection","$25,000,000","$25,000,000","$25,000,000","$25,000,000",yes,Pass,82.855916089063%,17.144083910937%,Fulton County,yes
GA,Johns Creek,Municipal,11-08-2016,Bond for parks and recreation,Bond,,"Open space, parks, trails, recreation, greenways","$40,000,000","$6,250,000","$40,000,000","$6,250,000",yes,Pass,65.481610159339%,34.518389840661%,Fulton County,yes
GA,Atlanta,Municipal,11-08-2016,"5-year, .4 percent sales tax for the purchase of the remaining right of way and acquisition of easements for the 22-mile Atlanta BeltLine loop",Sales tax,,"Parks, recreation, trails, greenways","$379,966,165","$65,900,000","$379,966,165","$65,900,000",yes,Pass,67.888221595784%,32.111778404216%,Fulton County,yes
IA,Linn County,County,11-08-2016,"Bond for land conservation, parks, trails, and watershed protection",Bond,,"Open space, parks, recreation, trails, watershed protection","$40,000,000","$22,000,000","$40,000,000","$22,000,000",yes,Pass,73.957243530271%,26.042756469729%,60% req. Public Measure E,yes
MA,Rockland,Municipal,11-08-2016,"Community Preservation Act, 1.5% property tax surcharge",Property tax,,"Open space, recreation","$6,610,999","$2,203,666","$6,610,999","$2,203,666",yes,Pass,50.596867812945%,49.403132187055%,Plymouth County,yes
MA,Hull,Municipal,11-08-2016,"Community Preservation Act, 1.5% property tax surcharge",Property tax,,"Open space, recreation","$7,708,606","$2,569,535","$7,708,606","$2,569,535",yes,Pass,59.25806451613%,40.74193548387%,Plymouth County,yes
MA,Norwood,Municipal,11-08-2016,"Community Preservation Act, 1% property tax surcharge",Property tax,,"Open space, recreation","$10,858,143","$3,619,381","$10,858,143","$3,619,381",yes,Pass,61.034789146333%,38.965210853667%,Norfolk County,yes
MA,Boston,Municipal,11-08-2016,"Community Preservation Act, 1% property tax surcharge",Property tax,,"Open space, recreation","$400,000,000","$133,333,333","$400,000,000","$133,333,333",yes,Pass,73.747815660131%,26.252184339869%,Suffolk County,yes
MA,Danvers,Municipal,11-08-2016,"Community Preservation Act, 1.5% property tax surcharge",Property tax,,"Open space, recreation","$16,307,598","$5,435,866",,,no,Fail,39.778267548254%,60.221732451746%,"Essex County, Question 5",yes
MA,Chelsea,Municipal,11-08-2016,"Community Preservation Act, 1.5% property tax surcharge",Property tax,,"Open space, recreation","$11,155,487","$3,718,496","$11,155,487","$3,718,496",yes,Pass,66.497093023256%,33.502906976744%,Suffolk County,yes
MA,Holyoke,Municipal,11-08-2016,"Community Preservation Act, 1.5% property tax surcharge",Property tax,,"Open space, recreation","$9,216,395","$3,072,132","$9,216,395","$3,072,132",yes,Pass,55.668185025983%,44.331814974017%,Hampden County,yes
MA,Springfield,Municipal,11-08-2016,"Community Preservation Act, 1.5% property tax surcharge",Property tax,,"Open space, recreation","$21,186,041","$7,062,014","$21,186,041","$7,062,014",yes,Pass,62.345718488201%,37.654281511799%,Hampden County,yes
MA,South Hadley,Municipal,11-08-2016,"Community Preservation Act, 1.5% property tax surcharge",Property tax,,"Open space, recreation","$4,326,881","$1,442,294",,,no,Fail,47.810956443646%,52.189043556354%,"Hampshire County, Citizen petition",yes
MA,Pittsfield,Municipal,11-08-2016,"Community Preservation Act, 1% property tax surcharge",Property tax,,"Open space, recreation","$7,672,251","$2,557,417","$7,672,251","$2,557,417",yes,Pass,62.863299521732%,37.136700478268%,Berkshire County,yes
MA,Billerica,Municipal,11-08-2016,"Community Preservation Act, 1% property tax surcharge",Property tax,,"Open space, recreation","$15,725,734","$5,241,911","$15,725,734","$5,241,911",yes,Pass,51.992309540976%,48.007690459024%,"Middlesex County, Initiative petition",yes
MA,Amesbury,Municipal,11-08-2016,"Community Preservation Act, 1% property tax surcharge",Property tax,,"Open space, recreation","$5,086,914","$1,695,638",,,no,Fail,41.061731131553%,58.938268868447%,"Essex County, citizen petition, Question 5",yes
MA,Wrentham,Municipal,11-08-2016,"Community Preservation Act, 1% property tax surcharge",Property tax,,"Open space, recreation","$4,690,632","$1,563,544","$4,690,632","$1,563,544",yes,Pass,68.441298661333%,31.558701338667%,"Norfolk County, citizen petition",yes
MA,Watertown,Municipal,11-08-2016,"Community Preservation Act, 2% property tax surcharge",Property tax,,"Open space, recreation","$38,179,004","$12,726,335","$38,179,004","$12,726,335",yes,Pass,59.862638961644%,40.137361038356%,"Middlesex County, citizen petition",yes
MA,Palmer,Municipal,11-08-2016,"Community Preservation Act, 1.5% property tax surcharge",Property tax,,"Open space, recreation","$2,523,238","$841,079",,,no,Fail,47.607447363842%,52.392552636158%,Hampden County,yes
MA,East Bridgewater,Municipal,11-08-2016,"Community Preservation Act, 1.5% property tax surcharge",Property tax,,"Open space, recreation","$5,533,333","$1,844,444",,,no,Fail,40.343688037013%,59.656311962987%,"Plymouth County, Citizen petition",yes
MD,Baltimore County,County,11-08-2016,Bond for land preservation,Bond,,Farmland,"$2,000,000","$2,000,000","$2,000,000","$2,000,000",yes,Pass,67.598741006176%,32.401258993824%,Measure I,yes
NC,Asheville,Municipal,11-08-2016,Bond for parks and recreation,Bond,,"Parks, recreation, trails, open space","$17,000,000","$2,000,000","$17,000,000","$2,000,000",yes,Pass,76.971064790172%,23.028935209828%,Buncombe County,yes
NC,Charlotte,Municipal,11-08-2016,Bond for trails and greenways including the Carolina Thread Trail,Bond,,"Trails, open space, greenways, parks, recreation","$55,000,000","$25,000,000","$55,000,000","$25,000,000",yes,Pass,77.859818271106%,22.140181728894%,Mecklenburg County,yes
NJ,Haddonfield Borough,Municipal,11-08-2016,Permanent extension of one cent per $100 open space property tax,Property tax,,"Open space, recreation","$2,400,000","$2,400,000","$2,400,000","$2,400,000",yes,Pass,75.760106916138%,24.239893083862%,Camden County,yes
NJ,Park Ridge Borough,Municipal,11-08-2016,"5-year, up to .07 cent open space tax for open space, recreation, watershed protection, and historic preservation",Property tax,,"Open space, recreation, watershed protection","$561,955","$561,955","$561,955","$561,955",yes,Pass,70.606569168065%,29.393430831935%,Bergen County,yes
NJ,Washington Borough,Municipal,11-08-2016,"5-year, 2 cents per $100 property tax increase for open space and recreation",Property tax,,"Open space, recreation, watershed protection","$371,205","$371,205","$371,205","$371,205",yes,Pass,50.02305209774%,49.97694790226%,Warren County,yes
NJ,Wyckoff Township,Municipal,11-08-2016,"5-year, .5 cent per $100 property tax renewal for the preservation of open space",Property tax,,"Open space, recreation","$1,155,225","$1,155,225","$1,155,225","$1,155,225",yes,Pass,76.231319038337%,23.768680961663%,Bergen County,yes
NJ,Robbinsville Township,Municipal,11-08-2016,1.5 cent per $100 property tax increase for open space,Property tax,,"Open space, recreation, farmland","$7,316,017","$7,316,017","$7,316,017","$7,316,017",yes,Pass,65.25900900901%,34.74099099099%,"Mercer County, Prior to 2008 this Robbinsville Township was known as Washington Township",yes
NJ,Northvale Borough,Municipal,11-08-2016,"5-year, 1 cent per $100 property tax increase to establish an open space trust fund",Property tax,,"Open space, recreation","$415,000","$415,000",,,no,Fail,44.149577804584%,55.850422195416%,Bergen County,yes
NJ,East Amwell Township,Municipal,11-08-2016,,Other,,,,,,,yes,Pass,72.680169571361%,27.319830428639%,Hunterdon County,yes
NJ,Harvey Cedars,Municipal,11-08-2016,1 cent per $100 property tax increase for open space,Property tax,,Open space,"$2,400,000","$2,400,000","$2,400,000","$2,400,000",yes,Pass,54.642857142857%,45.357142857143%,Ocean County,yes
NJ,Jersey City,Municipal,11-08-2016,Up to 2 cents per $100 property tax increase for open space and recreational purposes,Property tax,,"Open space, recreation, parks","$24,000,000","$24,000,000","$24,000,000","$24,000,000",yes,Pass,61.620164355085%,38.379835644915%,"Hudson County, Question 2",yes
NJ,Fanwood Borough,Municipal,11-08-2016,"1 cent per $100 property tax increase for open space, parks and recreation",Property tax,,"Open space, recreation, parks, farmland","$456,976","$456,976","$456,976","$456,976",yes,Pass,58.011503697617%,41.988496302383%,"Union County, Question 4",yes
NJ,Colts Neck Township,Municipal,11-08-2016,1.3 cent per $100 property tax increase for open space and farmland preservation,Property tax,,"Open space, farmland","$6,800,000","$6,800,000",,,no,Fail,40.828750981932%,59.171249018068%,Monmouth County,yes
NJ,Tenafly Borough,Municipal,11-08-2016,"10-year, 1cent continuation of open space tax",Property tax,,"Open space, recreation","$3,900,000","$3,900,000","$3,900,000","$3,900,000",yes,Pass,57.994923857868%,42.005076142132%,Bergen County,yes
NJ,Teaneck Township,Municipal,11-08-2016,4-year. continuation of 1 cent per $100 property tax for the acquisition of open space and recreational lands,Property tax,,"Open space, recreation","$2,008,445","$2,008,445","$2,008,445","$2,008,445",yes,Pass,57.661156107844%,42.338843892156%,Bergen County,yes
NJ,Oldmans Township,Municipal,11-08-2016,Up to 3 cents per $100 property tax to create an open space trust fund,Property tax,,"Open space, recreation, farmland","$466,233","$466,233","$466,233","$466,233",yes,Pass,52.081218274112%,47.918781725888%,Salem County,yes
NJ,Union County,County,11-08-2016,1.5 cents per $100 extension of property tax for  for open space trust fund,Property tax,,"Open space, recreation","$70,391,880","$70,391,880","$70,391,880","$70,391,880",yes,Pass,58.115858703426%,41.884141296574%,Question 3,yes
NJ,Secaucus,Municipal,11-08-2016,1 cent per $100 property tax increase for open space and farmland,Property tax,,"Open space, recreation, farmland","$5,113,236","$5,113,236","$5,113,236","$5,113,236",yes,Pass,61.092211280215%,38.907788719785%,Hudson County,yes
NJ,Beach Haven Borough,Municipal,11-08-2016,1 cent per $100 property tax increase for open space acquisition and development,Property tax,,"Open space, recreation","$3,343,331","$3,343,331",,,no,Fail,46.687697160883%,53.312302839117%,Ocean County,yes
NY,Riverhead,Municipal,11-08-2016,"20-year, extension of two percent real estate transfer tax for the Community Preservation Fund",Real estate transfer tax,,"Open space, wildlife habitat, watershed protection","$74,000,000","$59,200,000","$74,000,000","$59,200,000",yes,Pass,74.558524769495%,25.441475230505%,Suffolk County,yes
NY,Shelter Island,Municipal,11-08-2016,"20-year, extension of two percent real estate transfer tax for the Community Preservation Fund",Real estate transfer tax,,"Open space, wildlife habitat, watershed protection","$40,000,000","$32,000,000","$40,000,000","$32,000,000",yes,Pass,71.70160295931%,28.29839704069%,Suffolk County,yes
NY,Southold,Municipal,11-08-2016,"20-year, extension of two percent real estate transfer tax for the Community Preservation Fund",Real estate transfer tax,,"Open space, wildlife habitat, watershed protection","$126,000,000","$100,800,000","$126,000,000","$100,800,000",yes,Pass,79.884683344183%,20.115316655817%,Suffolk County,yes
NY,Southampton,Municipal,11-08-2016,"20-year, extension of two percent real estate transfer tax for the Community Preservation Fund",Real estate transfer tax,,"Open space, wildlife habitat, watershed protection","$1,200,000,000","$960,000,000","$1,200,000,000","$960,000,000",yes,Pass,80.16112355678%,19.83887644322%,Suffolk County,yes
